,job_title,company,location,duration,stipend,skills,perks
0,Artificial Intelligence (AI),FoodNEST(S) Technologies Private Limited,Lucknow,6 Months,"₹ 4,000-8,000 /month","['Artificial Intelligence', 'Data Science', 'Data Structures', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Neural Networks', 'Python']","['Certificate', 'Flexible work hours', 'Informal dress code', 'Job offer']"
1,Data Analytics,GoMechanic,Gurgaon,3 Months,"₹ 10,000-15,000 /month","['Data Analytics', 'Data Science', 'MongoDB', 'MS-Excel', 'Power BI', 'Python', 'SQL', 'Tableau']","['Certificate', 'Letter of recommendation', 'Informal dress code']"
2,Content Development (Mathematics),Lawtech,Work from home,3 Months,"₹ 6,000-8,000 /month","['Advanced Excel', 'Algorithms', 'Analog And Digital Circuits', 'Content Writing', 'Data Analytics', 'Database Testing', 'Data Science', 'Data Structures', 'Mathematics']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
3,Arithmetic & Mental Ability Content Curation (for GATE),Lawtech,Work from home,3 Months,"₹ 6,000-8,000 /month","['Advanced Excel', 'Algorithms', 'Analog And Digital Circuits', 'Content Writing', 'Data Analytics', 'Database Testing', 'Data Science', 'Data Structures', 'Mathematics']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
4,Full Stack Data Engineering,Blackcoffer,Work from home,6 Months,"₹ 10,000-12,000 /month","['Data Science', 'Django', 'Elasticsearch', 'FastAPI', 'Flask', 'Machine Learning', 'MongoDB', 'Power BI', 'Python', 'REST API', 'SQL']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Job offer']"
5,Machine Learning,Techvolt Software Private Limited,Coimbatore,2 Months,"₹ 6,000 /month","['Data Analytics', 'Data Science', 'Machine Learning', 'Natural Language Processing (NLP)', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code']"
6,Machine Learning,K4 Media & Technologies,Work from home,,"₹ 10,000 /month","['Data Analytics', 'Deep Learning', 'Machine Learning', 'Python']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week', 'Job offer']"
7,Business Analytics,Rest The Case Services Private Limited,Pune,3 Months,"₹ 10,000 /month",[],"['Certificate', 'Letter of recommendation', 'Informal dress code', '5 days a week', 'Job offer']"
8,Data Science - Content Writing Volunteer,Earth5R,Work from home,,Unpaid,[],"['Certificate', 'Flexible work hours']"
9,Business Analytics,Conscript HR Advisors Private Limited,Work from home,2 Months,"₹ 1,000 /month",[],"['Certificate', 'Letter of recommendation', 'Flexible work hours']"
10,Business Analytics,Brain Wave AI Solutions,Work from home,6 Months,"₹ 6,500 /month",[],"['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']"
11,Data & Reporting,Growify Digital,Delhi,6 Months,"₹ 10,000-15,000 /month","['MS-Excel', 'Python', 'Tableau']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code']"
12,Social Sector Marketing,Pawzz,Work from home,,"₹ 1,500-10,000 lump sum","['Advanced Excel', 'BIM (Building Information Modeling)', 'Business Analysis', 'Business Research', 'Data Analytics', 'Data Science', 'Digital Marketing', 'Economics', 'Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Marketing', 'Research and Analytics', 'Sales']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']"
13,Artificial Intelligence (AI),Coding Junior,Work from home,6 Months,"₹ 2,000 /month","['Data Science', 'Data Structures', 'Deep Learning', 'HTML', 'Machine Learning', 'Natural Language Processing (NLP)', 'Neural Networks', 'Python']","['Certificate', 'Letter of recommendation']"
14,Data Analytics,Primary Healthtech,Guwahati,6 Months,"₹ 5,000-10,000 /month","['Data Analytics', 'Data Science', 'MS-Excel', 'MS-PowerPoint', 'MySQL', 'Python', 'R Programming']","['Certificate', 'Letter of recommendation', 'Job offer']"
15,Business Analytics,Isourse,Delhi,6 Months,"₹ 20,000 /month","['Design Thinking', 'Effective Communication', 'ERP Implementation and Deployment', 'Storyboarding']","['Certificate', 'Letter of recommendation', 'Free snacks & beverages', 'Job offer']"
16,Machine Learning,MELE (Make Engineers Life Easy),Work from home,3 Months,"₹ 1,000 /month +  Incentives","['Computer Vision', 'Data Analytics', 'Data Science', 'Data Structures', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Neural Networks', 'Python', 'Statistics']","['Certificate', 'Letter of recommendation', 'Flexible work hours']"
17,Artificial Intelligence (AI),Asynchron Labs,Work from home,2 Months,"₹ 12,000-18,000 /month","['Artificial Intelligence', 'Data Science', 'Data Structures', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Neural Networks', 'Python']","['Certificate', 'Letter of recommendation']"
18,Python Development,ALGOTRAK Private Limited,Work from home,3 Months,"₹ 15,000 /month","['CSS', 'Data Science', 'Django', 'HTML', 'JavaScript', 'Machine Learning', 'Python', 'SQL']",['Certificate']
19,Quant Research,Newberry Group,Mumbai,6 Months,"₹ 10,000-12,000 /month","['Algorithms', 'Economics', 'Financial Modeling', 'Mathematics', 'Python', 'Statistics', 'Stock Trading']","['Certificate', 'Letter of recommendation', '5 days a week']"
20,Data Science,Neoperk Technologies Private Limited,Mumbai,3 Months,"₹ 5,000 /month","['Data Analytics', 'Deep Learning', 'Django', 'Flask', 'Git', 'Google Cloud Computing', 'Machine Learning', 'Python', 'SQL', 'Statistics']","['Certificate', 'Letter of recommendation']"
